GeoUID_csd,Type_csd,Region Name_csd,Area (sq km)_csd,Population_csd,Dwellings_csd,Households_csd,CD_UID_csd,PR_UID_csd,CMA_UID_csd,total_occupied_private_dwellings_csd,single_detached_houses_csd,apartment_in_building_plus_5_csd,semi_detached_house_csd,row_house_csd,apartment_in_duplex_csd,apartment_in_building_less_5_csd,households_more_than_30_csd,median_shelter_costs_owned_csd,median_shelter_costs_rented_csd,single_detached_houses_pct_csd,semi_detached_house_pct_csd,row_house_pct_csd,apartment_in_duplex_pct_csd,apartment_in_building_less_5_pct_csd,apartment_in_building_plus_5_pct_csd,pop_density_csd
3514045,CSD,Trent Hills (MU),513.8469,13861,7057,5903,3514,35,,5905,5210,5,65,125,95,370,1060,890,1000,0.882303132938188,0.01100762066045724,0.021168501270110076,0.016088060965283656,0.06265876375952582,8.46740050804403e-4,26.97496082977245
3515003,CSD,Asphodel-Norwood (TP),161.6153,4658,1985,1821,3515,35,,1820,1665,0,50,0,5,95,255,1100,1100,0.9148351648351648,0.027472527472527472,0,0.0027472527472527475,0.0521978021978022,0,28.821528654774642
3515005,CSD,Otonabee-South Monaghan (TP),346.1528,7087,3050,2732,3515,35,35529,2735,2445,0,15,35,20,55,380,1150,1100,0.8939670932358318,0.005484460694698354,0.012797074954296161,0.007312614259597806,0.02010968921389397,0,20.473617431377125
3515008,CSD,Hiawatha First Nation (IRI),8.9288,341,210,157,3515,35,35529,155,145,0,0,10,0,0,0,NA,NA,0.9354838709677419,0,0.06451612903225806,0,0,0,38.19102230982887
3515013,CSD,Cavan Monaghan (TP),306.3893,10016,3704,3553,3515,35,35529,3555,3360,5,25,30,15,110,465,1420,1190,0.9451476793248945,0.007032348804500703,0.008438818565400843,0.004219409282700422,0.030942334739803096,0.0014064697609001407,32.69043664383841
3515014,CSD,Peterborough (CY),64.7565,83651,38006,35977,3515,35,35529,35975,20560,2585,775,3010,2605,6400,9235,1160,1110,0.5715079916608756,0.021542738012508687,0.08366921473245309,0.07241139680333565,0.17790132036136205,0.07185545517720639,1291.7776593855442
3515015,CSD,Selwyn (TP),316.117,18653,8540,7483,3515,35,35529,7485,6985,5,40,100,90,220,1060,950,1260,0.9331997327989312,0.005344021376085505,0.013360053440213761,0.012024048096192385,0.029392117568470273,6.680026720106881e-4,59.00663361983063
3515019,CSD,Curve Lake First Nation 35 (IRI),6.6369,1244,650,543,3515,35,35529,545,530,0,0,5,0,0,0,NA,NA,0.9724770642201835,0,0.009174311926605505,0,0,0,187.43690578432702
3515023,CSD,Douro-Dummer (TP),459.4605,7632,3601,2925,3515,35,35529,2925,2870,0,15,0,20,10,345,1130,1130,0.9811965811965812,0.005128205128205128,0,0.006837606837606838,0.003418803418803419,0,16.6107859108672
3515030,CSD,Havelock-Belmont-Methuen (TP),529.3526,5083,3856,2234,3515,35,,2230,2095,0,15,0,35,70,360,860,940,0.9394618834080718,0.006726457399103139,0,0.01569506726457399,0.03139013452914798,0,9.602295332071666
