DA2021,total_occupied_private_dwellings_da,single_detached_houses_da,apartment_in_building_plus_5_da,semi_detached_house_da,row_house_da,apartment_in_duplex_da,apartment_in_building_less_5_da,households_more_than_30_da,median_shelter_costs_owned_da,median_shelter_costs_rented_da,single_detached_houses_pct_da,semi_detached_house_pct_da,row_house_pct_da,apartment_in_duplex_pct_da,apartment_in_building_less_5_pct_da,apartment_in_building_plus_5_pct_da,pop_density_da
35010307,205,165,0,30,0,0,0,30,1100,1190,0.8048780487804879,0.14634146341463414,0,0,0,0,1807.8055964653902
35010308,225,85,15,60,5,5,10,50,725,950,0.37777777777777777,0.26666666666666666,0.022222222222222223,0.022222222222222223,0.044444444444444446,0.06666666666666667,47.540665160360284
35010309,180,65,15,0,60,10,30,35,745,940,0.3611111111111111,0,0.3333333333333333,0.05555555555555555,0.16666666666666666,0.08333333333333333,3500
35010310,245,170,0,25,10,10,30,40,600,800,0.6938775510204082,0.10204081632653061,0.04081632653061224,0.04081632653061224,0.12244897959183673,0,1428.5714285714287
35010311,250,230,0,0,15,0,0,20,920,960,0.92,0,0.06,0,0,0,10.88321473419841
35010312,195,165,0,0,0,0,0,20,1070,NA,0.8461538461538461,0,0,0,0,0,16.40504261438645
35010313,290,275,0,5,10,0,0,35,980,NA,0.9482758620689655,0.017241379310344827,0.034482758620689655,0,0,0,43.825438584894435
35010314,305,225,0,10,30,0,40,20,1140,695,0.7377049180327869,0.03278688524590164,0.09836065573770492,0,0.13114754098360656,0,945.3471196454948
35010315,330,285,0,5,10,0,30,35,705,1020,0.8636363636363636,0.015151515151515152,0.030303030303030304,0,0.09090909090909091,0,86.18245159199546
35010316,160,140,0,5,0,0,15,15,830,NA,0.875,0.03125,0,0,0.09375,0,111.89151388002068
35010317,315,250,0,5,25,5,25,30,1050,1140,0.7936507936507936,0.015873015873015872,0.07936507936507936,0.015873015873015872,0.07936507936507936,0,85.2376719134027
35010318,290,205,5,0,0,0,75,35,1010,960,0.7068965517241379,0,0,0,0.25862068965517243,0.017241379310344827,1526.9256987048398
35010319,340,290,0,15,0,5,15,40,1280,1440,0.8529411764705882,0.04411764705882353,0,0.014705882352941176,0.04411764705882353,0,162.19522852398848
35010320,340,345,0,0,0,0,0,0,1060,NA,1.0147058823529411,0,0,0,0,0,213.89613469290967
35010321,140,140,0,0,0,0,0,30,890,NA,1,0,0,0,0,0,15.773346492154268
35010322,180,180,0,0,0,0,0,20,840,NA,1,0,0,0,0,0,7.226112703858627
35010323,325,290,0,35,0,0,0,30,940,NA,0.8923076923076924,0.1076923076923077,0,0,0,0,52.034090375704906
35010324,265,195,0,35,0,10,20,50,840,1020,0.7358490566037735,0.1320754716981132,0,0.03773584905660377,0.07547169811320754,0,1025.5057167985929
35010325,280,85,0,55,70,0,65,65,850,795,0.30357142857142855,0.19642857142857142,0.25,0,0.23214285714285715,0,202.0275426038298
35010328,185,180,0,5,0,5,5,0,910,NA,0.972972972972973,0.02702702702702703,0,0.02702702702702703,0.02702702702702703,0,14.211524102689365
35010329,205,205,0,0,0,0,0,25,1280,NA,1,0,0,0,0,0,12.52235718799626
35010330,170,165,0,0,0,0,0,20,620,850,0.9705882352941176,0,0,0,0,0,7.283369309764504
35010331,170,170,0,0,0,0,0,15,735,NA,1,0,0,0,0,0,8.17867253853413
35010332,205,195,0,0,5,0,5,30,1680,NA,0.9512195121951219,0,0.024390243902439025,0,0.024390243902439025,0,20.52266351690536
35010333,200,175,0,0,15,0,10,25,920,1110,0.875,0,0.075,0,0.05,0,136.24139255844193
35010334,265,145,0,10,15,5,90,35,1300,990,0.5471698113207547,0.03773584905660377,0.05660377358490566,0.018867924528301886,0.33962264150943394,0,1679.7900262467192
35010335,145,140,0,0,0,0,5,15,1160,NA,0.9655172413793104,0,0,0,0.034482758620689655,0,1006.7491563554555
35010336,295,100,0,25,10,0,150,75,1080,800,0.3389830508474576,0.0847457627118644,0.03389830508474576,0,0.5084745762711864,0,1382.2393822393822
35010337,195,165,0,10,0,5,15,0,1270,1160,0.8461538461538461,0.05128205128205128,0,0.02564102564102564,0.07692307692307693,0,37.17610044225461
35010338,190,185,0,0,0,0,0,25,1140,NA,0.9736842105263158,0,0,0,0,0,7.275710504569026
35010339,275,270,0,0,0,0,0,25,1680,NA,0.9818181818181818,0,0,0,0,0,32.963674467341946
35010340,190,185,0,5,0,0,0,15,1520,NA,0.9736842105263158,0.02631578947368421,0,0,0,0,16.64070587552365
35010341,190,190,0,0,0,0,0,30,1050,NA,1,0,0,0,0,0,15.819025347956032
35010342,205,165,0,0,0,0,10,35,1000,NA,0.8048780487804879,0,0,0,0.04878048780487805,0,19.438612860586268
35010343,185,180,0,5,0,0,0,0,1280,NA,0.972972972972973,0.02702702702702703,0,0,0,0,15.7937726442368
35010344,215,205,0,0,5,5,5,15,1330,NA,0.9534883720930233,0,0.023255813953488372,0.023255813953488372,0.023255813953488372,0,78.0793319415449
35010345,155,155,0,0,0,0,0,15,1160,NA,1,0,0,0,0,0,5.685056092097908
35010346,225,175,0,10,0,0,35,50,1110,780,0.7777777777777778,0.044444444444444446,0,0,0.15555555555555556,0,15.192389606701688
35010347,215,195,0,5,0,5,5,20,1120,880,0.9069767441860465,0.023255813953488372,0,0.023255813953488372,0.023255813953488372,0,28.020147820575747
35010348,200,190,0,0,0,5,5,20,1260,NA,0.95,0,0,0.025,0.025,0,9.367007784790365
35010349,125,85,0,0,0,0,30,NA,850,NA,0.68,0,0,0,0.24,0,24.562237540606922
35010350,180,150,0,0,0,0,30,20,1010,NA,0.8333333333333334,0,0,0,0.16666666666666666,0,19.732783264339236
35010351,170,170,0,0,0,0,5,15,820,NA,1,0,0,0,0.029411764705882353,0,24.449877750611247
35010352,175,175,0,0,0,0,0,20,755,NA,1,0,0,0,0,0,6.716751341131077
35010353,180,175,0,0,0,0,5,0,715,NA,0.9722222222222222,0,0,0,0.027777777777777776,0,10.66788407876532
35010354,225,220,0,0,0,0,0,40,880,960,0.9777777777777777,0,0,0,0,0,15.982349926602796
35010355,175,170,0,5,0,0,0,15,720,NA,0.9714285714285714,0.02857142857142857,0,0,0,0,12.267670067134887
35010356,220,190,0,0,0,5,25,30,930,730,0.8636363636363636,0,0,0.022727272727272728,0.11363636363636363,0,16.13593335328186
35010357,205,200,0,5,0,0,10,25,1200,NA,0.975609756097561,0.024390243902439025,0,0,0.04878048780487805,0,12.224262272990877
35010358,215,200,0,10,0,0,0,35,760,NA,0.9302325581395349,0.046511627906976744,0,0,0,0,27.210020322025947
35010359,265,215,0,35,15,0,0,45,820,1200,0.8113207547169812,0.1320754716981132,0.05660377358490566,0,0,0,43.04252402497318
35010360,210,210,0,0,0,0,0,25,1050,NA,1,0,0,0,0,0,15.096426986879937
35010361,255,110,5,0,0,10,125,85,820,830,0.43137254901960786,0,0,0.0392156862745098,0.49019607843137253,0.0196078431372549,367.2467990492985
35010362,200,145,0,10,0,5,25,40,850,890,0.725,0.05,0,0.025,0.125,0,1370.8651399491093
35010363,320,150,5,40,10,5,110,55,775,765,0.46875,0.125,0.03125,0.015625,0.34375,0.015625,2439.644218551461
35010364,190,130,0,20,20,20,5,30,1110,800,0.6842105263157895,0.10526315789473684,0.10526315789473684,0.10526315789473684,0.02631578947368421,0,54.86032107192517
35010365,240,95,0,0,0,50,85,90,1050,850,0.3958333333333333,0,0,0.20833333333333334,0.3541666666666667,0,1837.8209142141513
35010366,230,150,0,15,15,5,25,30,624,920,0.6521739130434783,0.06521739130434782,0.06521739130434782,0.021739130434782608,0.10869565217391304,0,930.3208657679895
35010367,320,205,0,10,5,10,15,65,624,NA,0.640625,0.03125,0.015625,0.03125,0.046875,0,34.71911341908656
35010369,155,145,0,0,0,5,0,15,950,NA,0.9354838709677419,0,0,0.03225806451612903,0,0,6.3767150706575455
35010370,405,180,0,185,25,15,5,50,810,1210,0.4444444444444444,0.4567901234567901,0.06172839506172839,0.037037037037037035,0.012345679012345678,0,1891.643709825528
35010371,145,100,0,45,0,0,0,0,795,NA,0.6896551724137931,0.3103448275862069,0,0,0,0,2607.8301260783014
35010372,125,70,0,35,10,10,5,NA,556,NA,0.56,0.28,0.08,0.08,0.04,0,2380.9523809523807
35010373,200,95,0,20,30,5,45,55,1170,880,0.475,0.1,0.15,0.025,0.225,0,2229.2134831460676
35010374,180,80,0,35,60,10,0,0,765,850,0.4444444444444444,0.19444444444444445,0.3333333333333333,0.05555555555555555,0,0,2908.291457286432
35010375,165,160,0,0,0,0,0,0,1090,NA,0.9696969696969697,0,0,0,0,0,2269.31330472103
35010376,300,255,0,15,0,10,5,35,1500,970,0.85,0.05,0,0.03333333333333333,0.016666666666666666,0,38.35603834453728
35010378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
